order_id,customer_id,product_name,price,quantity,order_date,region
ST_2001,4521,Apples,3.99,5,2024-10-15,West
ST_2002,CUST_7834,White Bread,2.50,2,2024-10-16,East
ST_2003,9123,Carrots,$1.99,3,2024-10-17,South
ST_2004,CUST_3456,Ground Turkey,$8.99,1,2024-10-18,North
ST_2005,6789,Lettuce,2.75,2,2024-10-19,West
ST_2006,CUST_2345,Strawberries,$4.50,1,2024-10-20,East
ST_2007,TEST_1234,TEST ORDER - PLEASE IGNORE,$999.99,1,2024-10-21,Test
ST_2008,8901,Broccoli,3.25,2,2024-10-22,South
ST_2009,CUST_5678,Mushrooms,$5.99,1,2024-10-23,North
ST_2010,1234,Zucchini,2.99,4,2024-10-24,West
ST_2011,CUST_4567,Red Onions,$1.50,3,2024-10-25,East
ST_2012,7890,Cucumbers,2.25,2,2024-10-26,South
ST_2013,CUST_9012,Cauliflower,$3.75,1,2024-10-27,North
ST_2014,3456,Green Beans,4.50,2,2024-10-28,West
ST_2015,CUST_6780,Asparagus,$6.99,1,2024-10-29,East
ST_2016,2345,Celery,1.99,3,2024-10-30,South
ST_2017,CUST_8902,Radishes,$2.50,2,2024-10-31,North
ST_2018,5678,Pears,4.99,4,2024-11-01,West
ST_2019,CUST_1235,Grapefruit,$3.50,2,2024-11-02,East
ST_2020,9013,Lemons,2.99,5,2024-11-03,South
ST_2021,CUST_4568,Limes,$2.75,4,2024-11-04,North
ST_2022,7891,Mango,$1.99,2,2024-11-05,West
ST_2023,CUST_3457,Pineapple,$4.50,1,2024-11-06,East
ST_2024,6781,Watermelon,$7.99,1,2024-11-07,South
ST_2025,CUST_2346,Cantaloupe,$5.50,1,2024-11-08,North
ST_2001,4521,Apples,3.99,5,2024-10-15,West
ST_2026,,Honeydew,$4.99,1,2024-11-09,West
ST_2027,CUST_9014,Peaches,$3.99,3,2024-11-10,East
